I[2019-10-14|22:00:05.809] starting ABCI with Tendermint                module=main 
E[2019-10-14|22:08:01.049] dialing failed (attempts: 1): dial tcp 13.209.40.130:26677: i/o timeout module=pex addr=1619344193320ba62cc7e3695dddc90bc09e551e@13.209.40.130:26677
E[2019-10-14|22:08:01.049] dialing failed (attempts: 2): dial tcp 100.96.33.27:26656: i/o timeout module=pex addr=8a867b55c6db6d27620f20362ad780319f60e433@100.96.33.27:26656
E[2019-10-14|22:08:01.049] dialing failed (attempts: 1): dial tcp 18.221.82.191:26656: i/o timeout module=pex addr=5c092770dd6a509aa9fb80229891f26c5d5a820d@18.221.82.191:26656
E[2019-10-14|22:08:01.311] dialing failed (attempts: 1): incompatible: Peer is on a different network. Got gaia-13006, expected cosmoshub-3-testnet module=pex addr=35b9658ca14dd4908b37f327870cbd5007ee06f1@116.203.146.149:26656
E[2019-10-14|22:08:30.048] dialing failed (attempts: 1): dial tcp [2a05:d014:c32:e844:f5c0:c1ff:6477:7edd]:26656: connect: network is unreachable module=pex addr=0bd1cbfce1220e33ab0ff6c813de834c27048e6e@[2a05:d014:c32:e844:f5c0:c1ff:6477:7edd]:26656
E[2019-10-14|22:08:31.049] dialing failed (attempts: 1): dial tcp 100.96.30.2:26656: i/o timeout module=pex addr=27c6377797d52866b9555beb8e070be5f7913714@100.96.30.2:26656
E[2019-10-14|22:08:31.049] dialing failed (attempts: 1): dial tcp 100.96.7.21:26656: i/o timeout module=pex addr=e74229e03a974af86fe0ce566fd50251eb874a41@100.96.7.21:26656
E[2019-10-14|22:08:31.049] dialing failed (attempts: 4): dial tcp 100.96.38.10:26656: i/o timeout module=pex addr=29437bf02f5f83c143d62cbcc1b26c89c38b9998@100.96.38.10:26656
E[2019-10-14|22:08:31.049] dialing failed (attempts: 1): dial tcp 23.90.70.36:46656: i/o timeout module=pex addr=9ccbb9d790f7ccb571fcd4cb8fa996a21c23a9eb@23.90.70.36:46656
E[2019-10-14|22:09:00.308] dialing failed (attempts: 4): dial tcp 3.87.179.235:26656: connect: connection refused module=pex addr=3e16af0cead27979e1fc3dac57d03df3c7a77acc@3.87.179.235:26656
E[2019-10-14|22:09:00.654] dialing failed (attempts: 2): incompatible: Peer is on a different network. Got gaia-13006, expected cosmoshub-3-testnet module=pex addr=01cbbd3506b422d782e5472e1e1b4aca8f8eaec0@35.247.100.212:26656
E[2019-10-14|22:09:01.049] dialing failed (attempts: 1): dial tcp 13.115.133.34:26656: i/o timeout module=pex addr=3d7f9f9ebc70a539f3faadcee7aea60bcada49f2@13.115.133.34:26656
E[2019-10-14|22:09:01.049] dialing failed (attempts: 1): dial tcp 100.96.8.2:26656: i/o timeout module=pex addr=cffe793871d5ef39d7b8529d2ac7157ac95259c6@100.96.8.2:26656
E[2019-10-14|22:09:01.049] dialing failed (attempts: 1): dial tcp 3.123.75.1:26656: i/o timeout module=pex addr=7ab65f299c05a2e1e87080d627cb76d9ece9287a@3.123.75.1:26656
E[2019-10-14|22:09:31.048] dialing failed (attempts: 1): dial tcp 100.96.53.21:26656: i/o timeout module=pex addr=258e116291637a11a2910f4273d325d1eb4c3073@100.96.53.21:26656
E[2019-10-14|22:09:31.048] dialing failed (attempts: 3): dial tcp 100.96.53.75:26656: i/o timeout module=pex addr=ab872ebd48b020667b4d24b736f00ef3d53013c7@100.96.53.75:26656
E[2019-10-14|22:09:31.049] dialing failed (attempts: 2): dial tcp 3.123.75.1:26656: i/o timeout module=pex addr=7ab65f299c05a2e1e87080d627cb76d9ece9287a@3.123.75.1:26656
E[2019-10-14|22:09:31.049] dialing failed (attempts: 1): dial tcp 54.213.146.252:26656: i/o timeout module=pex addr=fd7c78c54636abef96f3537762f422b3fb9f0614@54.213.146.252:26656
E[2019-10-14|22:09:31.049] dialing failed (attempts: 2): dial tcp 100.96.54.207:26656: i/o timeout module=pex addr=d02e89b545d6267ee8e6b2e562dbdf0fe343bead@100.96.54.207:26656
E[2019-10-14|22:10:00.048] dialing failed (attempts: 6): dial tcp [2a05:d014:c32:e842:d337:50fa:7c4a:b27b]:26656: connect: network is unreachable module=pex addr=827e0cc1c63afc622519d8050bbf02446169afd2@[2a05:d014:c32:e842:d337:50fa:7c4a:b27b]:26656
E[2019-10-14|22:10:01.041] dialing failed (attempts: 1): incompatible: Peer is on a different network. Got gaia-13006, expected cosmoshub-3-testnet module=pex addr=ae9cdb48aae0b62cc21720087d16f79a33e776da@80.71.57.38:26656
E[2019-10-14|22:10:01.049] dialing failed (attempts: 2): dial tcp 51.38.113.59:26656: i/o timeout module=pex addr=5e13a96357d7326b1eff969ef8d96da39896327d@51.38.113.59:26656
E[2019-10-14|22:10:01.049] dialing failed (attempts: 2): dial tcp 34.245.10.43:26656: i/o timeout module=pex addr=081a25f5f6a5ce08992acc65060abcd655538599@34.245.10.43:26656
E[2019-10-14|22:10:01.049] dialing failed (attempts: 4): dial tcp 100.96.54.62:26656: i/o timeout module=pex addr=5bcfff9df5b49a0820dc57d8d3a87b7cde2c91fe@100.96.54.62:26656
E[2019-10-14|22:10:31.048] dialing failed (attempts: 2): dial tcp 3.14.253.59:26656: i/o timeout module=pex addr=c88947f94114d61851879f4a0fc99112e80a6762@3.14.253.59:26656
E[2019-10-14|22:10:31.048] dialing failed (attempts: 1): dial tcp 54.65.180.90:26656: i/o timeout module=pex addr=897a814b827e60a0324ef6fdf4a1924e6de4112f@54.65.180.90:26656
E[2019-10-14|22:10:31.049] dialing failed (attempts: 3): dial tcp 100.96.4.3:26656: i/o timeout module=pex addr=69dd13ec7692e862ab57e685c49966ed7990b72d@100.96.4.3:26656
E[2019-10-14|22:10:31.049] dialing failed (attempts: 2): dial tcp 34.254.251.180:26656: i/o timeout module=pex addr=a51822c40e6f5bf4313387997eeb747d2fc4076f@34.254.251.180:26656
E[2019-10-14|22:10:31.049] dialing failed (attempts: 3): dial tcp 100.96.22.2:26656: i/o timeout module=pex addr=7cb4ae170f02934431cff80b2d9691e2db39db8f@100.96.22.2:26656
E[2019-10-14|22:11:00.048] dialing failed (attempts: 1): dial tcp [2a05:d014:c32:e842:89a7:f680:480c:9536]:26656: connect: network is unreachable module=pex addr=11cf0c6ac0f7ee5f26886c536f07cc69bd5781fa@[2a05:d014:c32:e842:89a7:f680:480c:9536]:26656
E[2019-10-14|22:11:01.048] dialing failed (attempts: 3): dial tcp 3.14.253.59:26656: i/o timeout module=pex addr=c88947f94114d61851879f4a0fc99112e80a6762@3.14.253.59:26656
E[2019-10-14|22:11:01.048] dialing failed (attempts: 2): dial tcp 3.120.248.247:26677: i/o timeout module=pex addr=238780c89bc1bac58c1554f570d3fb97e3941b78@3.120.248.247:26677
E[2019-10-14|22:11:01.049] dialing failed (attempts: 1): dial tcp 18.223.99.160:26656: i/o timeout module=pex addr=2eba272eeeecb9d67a340738002e5ff8266af93d@18.223.99.160:26656
E[2019-10-14|22:11:01.049] dialing failed (attempts: 3): dial tcp 3.123.75.1:26656: i/o timeout module=pex addr=7ab65f299c05a2e1e87080d627cb76d9ece9287a@3.123.75.1:26656
E[2019-10-14|22:11:30.101] dialing failed (attempts: 2): dial tcp 221.165.237.202:26656: connect: connection refused module=pex addr=5a1b9b12d180cfcd3e69de0ee4128c545121a70e@221.165.237.202:26656
E[2019-10-14|22:11:30.320] dialing failed (attempts: 3): dial tcp 51.38.113.59:26656: connect: connection refused module=pex addr=5e13a96357d7326b1eff969ef8d96da39896327d@51.38.113.59:26656
E[2019-10-14|22:11:31.048] dialing failed (attempts: 2): dial tcp 34.241.12.222:26656: i/o timeout module=pex addr=9afe1904903cd3d462a7f071e2affaca7f5cbe15@34.241.12.222:26656
